match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Manchester United FC vs Crystal Palace FC,Manchester United FC,Crystal Palace FC,2026-03-01 14:00:00+00:00,Away Win,0.599145770072937,6.0,0.16666666666666666,0.4324791034062704,2.594874620437622,12.97437310218811,0.599145770072937
Wolverhampton Wanderers FC vs Aston Villa FC,Wolverhampton Wanderers FC,Aston Villa FC,2026-02-27 20:00:00+00:00,Home Win,0.7463911771774292,4.5,0.2222222222222222,0.524168954955207,2.3587602972984314,16.848287837845938,0.7463911771774292
Everton FC vs Manchester United FC,Everton FC,Manchester United FC,2026-02-23 20:00:00+00:00,Home Win,0.581375241279602,3.95,0.2531645569620253,0.3282106843175768,1.2964322030544282,10.986713585207019,0.581375241279602
Burnley FC vs Brentford FC,Burnley FC,Brentford FC,2026-02-28 15:00:00+00:00,Home Win,0.509194016456604,4.5,0.2222222222222222,0.2869717942343818,1.291373074054718,9.224093386105128,0.509194016456604
Brighton & Hove Albion FC vs Nottingham Forest FC,Brighton & Hove Albion FC,Nottingham Forest FC,2026-03-01 14:00:00+00:00,Away Win,0.599145770072937,3.5,0.2857142857142857,0.3134314843586513,1.0970101952552795,10.970101952552795,0.599145770072937
Fulham FC vs Tottenham Hotspur FC,Fulham FC,Tottenham Hotspur FC,2026-03-01 14:00:00+00:00,Home Win,0.6593955755233765,2.28,0.4385964912280702,0.22079908429530626,0.5034219121932982,9.832459222525358,0.6593955755233765
Leeds United FC vs Manchester City FC,Leeds United FC,Manchester City FC,2026-02-28 17:30:00+00:00,Draw,0.2823346257209778,4.7,0.2127659574468085,0.06956866827416927,0.3269727408885956,2.2092752762742944,0.5675145983695984
Burnley FC vs Brentford FC,Burnley FC,Brentford FC,2026-02-28 15:00:00+00:00,Draw,0.31109315156936646,3.9,0.25641025641025644,0.05468289515911001,0.2132632911205291,1.8384766475907681,0.509194016456604
