match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Wolverhampton Wanderers FC vs Liverpool FC,Wolverhampton Wanderers FC,Liverpool FC,2026-03-03 20:15:00+00:00,Home Win,0.7463911771774292,7.0,0.14285714285714285,0.6035340343202864,4.224738240242004,17.603076001008354,0.7463911771774292
Manchester United FC vs Crystal Palace FC,Manchester United FC,Crystal Palace FC,2026-03-01 14:00:00+00:00,Away Win,0.599145770072937,6.6,0.15151515151515152,0.4476306185577855,2.954362082481384,13.189116439649037,0.599145770072937
Leeds United FC vs Sunderland AFC,Leeds United FC,Sunderland AFC,2026-03-03 19:30:00+00:00,Away Win,0.5675145983695984,4.4,0.22727272727272727,0.3402418710968711,1.4970642328262331,11.007825241369359,0.5675145983695984
Burnley FC vs Brentford FC,Burnley FC,Brentford FC,2026-02-28 15:00:00+00:00,Home Win,0.509194016456604,4.7,0.2127659574468085,0.2964280590097955,1.393211877346039,9.413593765851614,0.509194016456604
Brighton & Hove Albion FC vs Nottingham Forest FC,Brighton & Hove Albion FC,Nottingham Forest FC,2026-03-01 14:00:00+00:00,Away Win,0.599145770072937,3.75,0.26666666666666666,0.33247910340627035,1.2467966377735138,11.334514888850125,0.599145770072937
Tottenham Hotspur FC vs Crystal Palace FC,Tottenham Hotspur FC,Crystal Palace FC,2026-03-05 20:00:00+00:00,Away Win,0.5848814845085144,3.2,0.3125,0.2723814845085144,0.8716207504272462,9.904781254855068,0.5848814845085144
Newcastle United FC vs Manchester United FC,Newcastle United FC,Manchester United FC,2026-03-04 20:15:00+00:00,Home Win,0.5788708329200745,2.54,0.39370078740157477,0.1851700455184997,0.47033191561698917,7.635258370405667,0.5788708329200745
Fulham FC vs Tottenham Hotspur FC,Fulham FC,Tottenham Hotspur FC,2026-03-01 14:00:00+00:00,Home Win,0.6593955755233765,2.1,0.47619047619047616,0.1832050993329003,0.38473070859909064,8.743879740888422,0.6593955755233765
Fulham FC vs West Ham United FC,Fulham FC,West Ham United FC,2026-03-04 19:30:00+00:00,Home Win,0.6593955755233765,2.08,0.4807692307692307,0.17862634475414574,0.37154279708862314,8.600527710384794,0.6593955755233765
Aston Villa FC vs Chelsea FC,Aston Villa FC,Chelsea FC,2026-03-04 19:30:00+00:00,Draw,0.3422539234161377,3.65,0.273972602739726,0.06828132067641168,0.24922682046890254,2.3511964195179487,0.42657923698425293
Burnley FC vs Brentford FC,Burnley FC,Brentford FC,2026-02-28 15:00:00+00:00,Draw,0.31109315156936646,4.0,0.25,0.061093151569366455,0.24437260627746582,2.036438385645549,0.509194016456604
Leeds United FC vs Manchester City FC,Leeds United FC,Manchester City FC,2026-02-28 17:30:00+00:00,Draw,0.2823346257209778,4.4,0.22727272727272727,0.05506189844825052,0.24227235317230233,1.7814143615610463,0.5675145983695984
Manchester City FC vs Nottingham Forest FC,Manchester City FC,Nottingham Forest FC,2026-03-04 19:30:00+00:00,Home Win,0.8539887070655823,1.4,0.7142857142857143,0.13970299277986797,0.19558418989181509,12.224011868238446,0.8539887070655823
Liverpool FC vs West Ham United FC,Liverpool FC,West Ham United FC,2026-02-28 15:00:00+00:00,Home Win,0.7463911771774292,1.45,0.6896551724137931,0.05673600476363605,0.0822672069072723,4.570400383737351,0.7463911771774292
