match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Manchester United FC vs Leeds United FC,Manchester United FC,Leeds United FC,2026-04-13 19:00:00+00:00,Away Win,0.599145770072937,5.9,0.1694915254237288,0.4296542446492082,2.5349600434303285,12.93346960933841,0.599145770072937
Leeds United FC vs Wolverhampton Wanderers FC,Leeds United FC,Wolverhampton Wanderers FC,2026-04-18 14:00:00+00:00,Away Win,0.5675145983695984,6.0,0.16666666666666666,0.40084793170293176,2.4050875902175903,12.025437951087952,0.5675145983695984
Chelsea FC vs Manchester City FC,Chelsea FC,Manchester City FC,2026-04-12 15:30:00+00:00,Home Win,0.7259930968284607,3.7,0.27027027027027023,0.45572282655819046,1.6861744582653047,15.612726465419485,0.7259930968284607
Chelsea FC vs Manchester United FC,Chelsea FC,Manchester United FC,2026-04-18 19:00:00+00:00,Home Win,0.7259930968284607,3.7,0.27027027027027023,0.45572282655819046,1.6861744582653047,15.612726465419485,0.7259930968284607
Sunderland AFC vs Tottenham Hotspur FC,Sunderland AFC,Tottenham Hotspur FC,2026-04-12 13:00:00+00:00,Home Win,0.9457205533981323,2.8,0.35714285714285715,0.5885776962552751,1.6480175495147704,22.889132632149593,0.9457205533981323
Aston Villa FC vs Sunderland AFC,Aston Villa FC,Sunderland AFC,2026-04-19 13:00:00+00:00,Away Win,0.42657923698425293,5.9,0.1694915254237288,0.2570877115605241,1.5168174982070926,7.73886478677088,0.42657923698425293
Everton FC vs Liverpool FC,Everton FC,Liverpool FC,2026-04-19 13:00:00+00:00,Home Win,0.581375241279602,3.5,0.2857142857142857,0.29566095556531635,1.0348133444786072,10.348133444786072,0.581375241279602
Manchester City FC vs Arsenal FC,Manchester City FC,Arsenal FC,2026-04-19 15:30:00+00:00,Home Win,0.8539887070655823,2.02,0.49504950495049505,0.35893920211508723,0.7250571882724762,17.771009516482263,0.8539887070655823
Tottenham Hotspur FC vs Brighton & Hove Albion FC,Tottenham Hotspur FC,Brighton & Hove Albion FC,2026-04-18 16:30:00+00:00,Away Win,0.5848814845085144,2.56,0.390625,0.1942564845085144,0.4972966003417969,7.969496800349309,0.5848814845085144
Nottingham Forest FC vs Aston Villa FC,Nottingham Forest FC,Aston Villa FC,2026-04-12 13:00:00+00:00,Home Win,0.509194016456604,2.84,0.35211267605633806,0.15708134040026595,0.4461110067367553,6.061290852401567,0.509194016456604
Aston Villa FC vs Sunderland AFC,Aston Villa FC,Sunderland AFC,2026-04-19 13:00:00+00:00,Draw,0.3422539234161377,4.1,0.24390243902439027,0.09835148439174743,0.4032410860061644,3.2519442419851967,0.42657923698425293
Nottingham Forest FC vs Burnley FC,Nottingham Forest FC,Burnley FC,2026-04-19 13:00:00+00:00,Draw,0.31109315156936646,4.4,0.22727272727272727,0.08382042429663919,0.36880986690521245,2.7118372566559734,0.509194016456604
Brentford FC vs Fulham FC,Brentford FC,Fulham FC,2026-04-18 11:30:00+00:00,Home Win,0.5788708329200745,2.2,0.45454545454545453,0.12432537837461993,0.2735158324241639,5.698246508836747,0.5788708329200745
Crystal Palace FC vs Newcastle United FC,Crystal Palace FC,Newcastle United FC,2026-04-12 13:00:00+00:00,Draw,0.3422539234161377,3.6,0.2777777777777778,0.0644761456383599,0.23211412429809575,2.231866579789382,0.42657923698425293
