match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Sunderland AFC vs Liverpool FC,Sunderland AFC,Liverpool FC,2026-02-11 20:15:00+00:00,Home Win,0.9457205533981323,5.0,0.2,0.7457205533981324,3.7286027669906616,23.303767293691635,0.9457205533981323
West Ham United FC vs Manchester United FC,West Ham United FC,Manchester United FC,2026-02-10 20:15:00+00:00,Home Win,0.8539887070655823,4.7,0.2127659574468085,0.6412227496187738,3.013746923208237,20.36315488654214,0.8539887070655823
Brentford FC vs Arsenal FC,Brentford FC,Arsenal FC,2026-02-12 20:00:00+00:00,Home Win,0.5788708329200745,5.4,0.18518518518518517,0.3936856477348893,2.1259024977684025,12.078991464593194,0.5788708329200745
Crystal Palace FC vs Burnley FC,Crystal Palace FC,Burnley FC,2026-02-11 19:30:00+00:00,Away Win,0.42657923698425293,6.6,0.15151515151515152,0.27506408546910144,1.815422964096069,8.104566804000308,0.42657923698425293
Aston Villa FC vs Brighton & Hove Albion FC,Aston Villa FC,Brighton & Hove Albion FC,2026-02-11 19:30:00+00:00,Away Win,0.42657923698425293,4.2,0.23809523809523808,0.18848399888901485,0.7916327953338624,6.1846312135458,0.42657923698425293
Tottenham Hotspur FC vs Newcastle United FC,Tottenham Hotspur FC,Newcastle United FC,2026-02-10 19:30:00+00:00,Away Win,0.5848814845085144,2.52,0.3968253968253968,0.1880560876831176,0.4739013409614563,7.794429950023953,0.5848814845085144
Crystal Palace FC vs Burnley FC,Crystal Palace FC,Burnley FC,2026-02-11 19:30:00+00:00,Draw,0.3422539234161377,4.2,0.23809523809523808,0.10415868532089961,0.4374664783477784,3.417706862092019,0.42657923698425293
Aston Villa FC vs Brighton & Hove Albion FC,Aston Villa FC,Brighton & Hove Albion FC,2026-02-11 19:30:00+00:00,Draw,0.3422539234161377,3.85,0.2597402597402597,0.08251366367587798,0.31767760515213017,2.786645659229212,0.42657923698425293
Nottingham Forest FC vs Wolverhampton Wanderers FC,Nottingham Forest FC,Wolverhampton Wanderers FC,2026-02-11 19:30:00+00:00,Draw,0.31109315156936646,3.95,0.2531645569620253,0.05792859460734118,0.22881794869899752,1.9391351584660808,0.509194016456604
Manchester City FC vs Fulham FC,Manchester City FC,Fulham FC,2026-02-11 19:30:00+00:00,Home Win,0.8539887070655823,1.4,0.7142857142857143,0.13970299277986797,0.19558418989181509,12.224011868238446,0.8539887070655823
Chelsea FC vs Leeds United FC,Chelsea FC,Leeds United FC,2026-02-10 19:30:00+00:00,Home Win,0.7259930968284607,1.57,0.6369426751592356,0.08905042166922505,0.13980916202068333,6.1319807903808465,0.7259930968284607
