match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Everton FC vs Chelsea FC,Everton FC,Chelsea FC,2026-03-21 17:30:00+00:00,Home Win,0.581375241279602,3.7,0.27027027027027023,0.3111049710093318,1.1510883927345277,10.658225858653033,0.581375241279602
Tottenham Hotspur FC vs Nottingham Forest FC,Tottenham Hotspur FC,Nottingham Forest FC,2026-03-22 14:15:00+00:00,Away Win,0.5848814845085144,3.05,0.3278688524590164,0.257012632049498,0.7838885277509688,9.559616192084986,0.5848814845085144
Aston Villa FC vs West Ham United FC,Aston Villa FC,West Ham United FC,2026-03-22 14:15:00+00:00,Away Win,0.42657923698425293,4.1,0.24390243902439027,0.18267679795986266,0.748974871635437,6.040119932543847,0.42657923698425293
Leeds United FC vs Brentford FC,Leeds United FC,Brentford FC,2026-03-21 20:00:00+00:00,Away Win,0.5675145983695984,3.0,0.3333333333333333,0.23418126503626507,0.7025437951087952,8.78179743885994,0.5675145983695984
Brighton & Hove Albion FC vs Liverpool FC,Brighton & Hove Albion FC,Liverpool FC,2026-03-21 12:30:00+00:00,Away Win,0.599145770072937,2.34,0.4273504273504274,0.17179534272250963,0.4020011019706725,7.500020559154338,0.599145770072937
Aston Villa FC vs West Ham United FC,Aston Villa FC,West Ham United FC,2026-03-22 14:15:00+00:00,Draw,0.3422539234161377,3.8,0.2631578947368421,0.0790960286792956,0.30056490898132315,2.683615258761814,0.42657923698425293
