match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Everton FC vs Chelsea FC,Everton FC,Chelsea FC,2026-03-21 17:30:00+00:00,Home Win,0.581375241279602,3.75,0.26666666666666666,0.3147085746129354,1.1801571547985077,10.72870140725916,0.581375241279602
Aston Villa FC vs West Ham United FC,Aston Villa FC,West Ham United FC,2026-03-22 14:15:00+00:00,Away Win,0.42657923698425293,4.1,0.24390243902439027,0.18267679795986266,0.748974871635437,6.040119932543847,0.42657923698425293
Tottenham Hotspur FC vs Nottingham Forest FC,Tottenham Hotspur FC,Nottingham Forest FC,2026-03-22 14:15:00+00:00,Away Win,0.5848814845085144,2.92,0.3424657534246575,0.2424157310838569,0.707853934764862,9.216848108917475,0.5848814845085144
Leeds United FC vs Brentford FC,Leeds United FC,Brentford FC,2026-03-21 20:00:00+00:00,Away Win,0.5675145983695984,2.84,0.35211267605633806,0.21540192231326033,0.6117414593696593,8.311704611000806,0.5675145983695984
Brighton & Hove Albion FC vs Liverpool FC,Brighton & Hove Albion FC,Liverpool FC,2026-03-21 12:30:00+00:00,Away Win,0.599145770072937,2.26,0.4424778761061947,0.1566678939667423,0.35406944036483756,7.025187308826143,0.599145770072937
Aston Villa FC vs West Ham United FC,Aston Villa FC,West Ham United FC,2026-03-22 14:15:00+00:00,Draw,0.3422539234161377,3.8,0.2631578947368421,0.0790960286792956,0.30056490898132315,2.683615258761814,0.42657923698425293
