match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Wolverhampton Wanderers FC vs Liverpool FC,Wolverhampton Wanderers FC,Liverpool FC,2026-03-03 20:15:00+00:00,Home Win,0.7463911771774292,7.0,0.14285714285714285,0.6035340343202864,4.224738240242004,17.603076001008354,0.7463911771774292
Manchester United FC vs Crystal Palace FC,Manchester United FC,Crystal Palace FC,2026-03-01 14:00:00+00:00,Away Win,0.599145770072937,6.2,0.16129032258064516,0.4378554474922919,2.7147037744522096,13.05146045409716,0.599145770072937
Wolverhampton Wanderers FC vs Aston Villa FC,Wolverhampton Wanderers FC,Aston Villa FC,2026-02-27 20:00:00+00:00,Home Win,0.7463911771774292,4.2,0.23809523809523808,0.5082959390821911,2.134842944145203,16.678460501134396,0.7463911771774292
Burnley FC vs Brentford FC,Burnley FC,Brentford FC,2026-02-28 15:00:00+00:00,Home Win,0.509194016456604,4.8,0.20833333333333334,0.30086068312327063,1.4441312789916991,9.500863677576968,0.509194016456604
Leeds United FC vs Sunderland AFC,Leeds United FC,Sunderland AFC,2026-03-03 19:30:00+00:00,Away Win,0.5675145983695984,4.1,0.24390243902439027,0.32361215934520815,1.3268098533153532,10.700079462220591,0.5675145983695984
Brighton & Hove Albion FC vs Nottingham Forest FC,Brighton & Hove Albion FC,Nottingham Forest FC,2026-03-01 14:00:00+00:00,Away Win,0.599145770072937,3.7,0.27027027027027023,0.3288754998026668,1.216839349269867,11.267031011758027,0.599145770072937
Fulham FC vs Tottenham Hotspur FC,Fulham FC,Tottenham Hotspur FC,2026-03-01 14:00:00+00:00,Home Win,0.6593955755233765,2.2,0.45454545454545453,0.20485012097792193,0.45067026615142836,9.388963878154756,0.6593955755233765
Newcastle United FC vs Manchester United FC,Newcastle United FC,Manchester United FC,2026-03-04 20:15:00+00:00,Home Win,0.5788708329200745,2.5,0.4,0.17887083292007444,0.44717708230018616,7.452951371669769,0.5788708329200745
Fulham FC vs West Ham United FC,Fulham FC,West Ham United FC,2026-03-04 19:30:00+00:00,Home Win,0.6593955755233765,2.04,0.49019607843137253,0.16919949709200394,0.34516697406768804,8.29728303047327,0.6593955755233765
Leeds United FC vs Manchester City FC,Leeds United FC,Manchester City FC,2026-02-28 17:30:00+00:00,Draw,0.2823346257209778,4.6,0.2173913043478261,0.06494332137315167,0.2987392783164977,2.0745783216423455,0.5675145983695984
Aston Villa FC vs Chelsea FC,Aston Villa FC,Chelsea FC,2026-03-04 19:30:00+00:00,Draw,0.3422539234161377,3.65,0.273972602739726,0.06828132067641168,0.24922682046890254,2.3511964195179487,0.42657923698425293
Burnley FC vs Brentford FC,Burnley FC,Brentford FC,2026-02-28 15:00:00+00:00,Draw,0.31109315156936646,3.95,0.2531645569620253,0.05792859460734118,0.22881794869899752,1.9391351584660808,0.509194016456604
Manchester City FC vs Nottingham Forest FC,Manchester City FC,Nottingham Forest FC,2026-03-04 19:30:00+00:00,Home Win,0.8539887070655823,1.39,0.7194244604316548,0.13456424663392752,0.1870443028211593,11.99001941161278,0.8539887070655823
