match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Wolverhampton Wanderers FC vs Chelsea FC,Wolverhampton Wanderers FC,Chelsea FC,2026-02-07 15:00:00+00:00,Home Win,0.7463911771774292,5.2,0.1923076923076923,0.5540834848697369,2.881234121322632,17.150203103110904,0.7463911771774292
Manchester United FC vs Fulham FC,Manchester United FC,Fulham FC,2026-02-01 14:00:00+00:00,Away Win,0.599145770072937,6.0,0.16666666666666666,0.4324791034062704,2.594874620437622,12.97437310218811,0.599145770072937
Brighton & Hove Albion FC vs Crystal Palace FC,Brighton & Hove Albion FC,Crystal Palace FC,2026-02-08 14:00:00+00:00,Away Win,0.599145770072937,4.3,0.23255813953488372,0.3665876305380533,1.576326811313629,11.941869782679008,0.599145770072937
Arsenal FC vs Sunderland AFC,Arsenal FC,Sunderland AFC,2026-02-07 15:00:00+00:00,Away Win,0.1374489814043045,17.0,0.058823529411764705,0.0786254519925398,1.3366326838731766,2.0884885685518384,0.581375241279602
Liverpool FC vs Manchester City FC,Liverpool FC,Manchester City FC,2026-02-08 16:30:00+00:00,Home Win,0.7463911771774292,2.55,0.3921568627450981,0.3542343144323311,0.9032975018024443,14.569314545200715,0.7463911771774292
Leeds United FC vs Nottingham Forest FC,Leeds United FC,Nottingham Forest FC,2026-02-06 20:00:00+00:00,Away Win,0.5675145983695984,3.3,0.30303030303030304,0.26448429533929535,0.8727981746196747,9.48693668064864,0.5675145983695984
Arsenal FC vs Sunderland AFC,Arsenal FC,Sunderland AFC,2026-02-07 15:00:00+00:00,Draw,0.28117579221725464,6.4,0.15625,0.12492579221725464,0.7995250701904297,3.7015049545853227,0.581375241279602
Burnley FC vs West Ham United FC,Burnley FC,West Ham United FC,2026-02-07 15:00:00+00:00,Home Win,0.509194016456604,3.45,0.2898550724637681,0.21933894399283588,0.7567193567752839,7.7216260895437125,0.509194016456604
Sunderland AFC vs Burnley FC,Sunderland AFC,Burnley FC,2026-02-02 20:00:00+00:00,Home Win,0.9457205533981323,1.8,0.5555555555555556,0.39016499784257674,0.7022969961166382,21.946781128644943,0.9457205533981323
Aston Villa FC vs Brentford FC,Aston Villa FC,Brentford FC,2026-02-01 14:00:00+00:00,Away Win,0.42657923698425293,3.6,0.2777777777777778,0.14880145920647514,0.5356852531433105,5.150819741762601,0.42657923698425293
Fulham FC vs Everton FC,Fulham FC,Everton FC,2026-02-07 15:00:00+00:00,Home Win,0.6593955755233765,2.18,0.4587155963302752,0.20067997919310127,0.43748235464096075,9.26869395425764,0.6593955755233765
Aston Villa FC vs Brentford FC,Aston Villa FC,Brentford FC,2026-02-01 14:00:00+00:00,Draw,0.3422539234161377,3.55,0.28169014084507044,0.06056378257106726,0.21500142812728873,2.107857138502831,0.42657923698425293
Newcastle United FC vs Brentford FC,Newcastle United FC,Brentford FC,2026-02-07 17:30:00+00:00,Home Win,0.5788708329200745,1.98,0.5050505050505051,0.07382032786956938,0.14616424918174742,3.7286798260649854,0.5788708329200745
