match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Wolverhampton Wanderers FC vs Liverpool FC,Wolverhampton Wanderers FC,Liverpool FC,2026-03-03 20:15:00+00:00,Home Win,0.7463911771774292,8.2,0.12195121951219513,0.6244399576652341,5.120407652854919,17.77919323907958,0.7463911771774292
Manchester United FC vs Crystal Palace FC,Manchester United FC,Crystal Palace FC,2026-03-01 14:00:00+00:00,Away Win,0.599145770072937,6.6,0.15151515151515152,0.4476306185577855,2.954362082481384,13.189116439649037,0.599145770072937
Leeds United FC vs Sunderland AFC,Leeds United FC,Sunderland AFC,2026-03-03 19:30:00+00:00,Away Win,0.5675145983695984,4.3,0.23255813953488372,0.3349564588347147,1.440312772989273,10.911460401433889,0.5675145983695984
Brighton & Hove Albion FC vs Nottingham Forest FC,Brighton & Hove Albion FC,Nottingham Forest FC,2026-03-01 14:00:00+00:00,Away Win,0.599145770072937,3.7,0.27027027027027023,0.3288754998026668,1.216839349269867,11.267031011758027,0.599145770072937
Tottenham Hotspur FC vs Crystal Palace FC,Tottenham Hotspur FC,Crystal Palace FC,2026-03-05 20:00:00+00:00,Away Win,0.5848814845085144,3.15,0.31746031746031744,0.26742116704819696,0.8423766762018203,9.795077630253726,0.5848814845085144
Newcastle United FC vs Manchester United FC,Newcastle United FC,Manchester United FC,2026-03-04 20:15:00+00:00,Home Win,0.5788708329200745,2.7,0.37037037037037035,0.2085004625497041,0.5629512488842011,8.278694836532368,0.5788708329200745
Fulham FC vs West Ham United FC,Fulham FC,West Ham United FC,2026-03-04 19:30:00+00:00,Home Win,0.6593955755233765,2.08,0.4807692307692307,0.17862634475414574,0.37154279708862314,8.600527710384794,0.6593955755233765
Fulham FC vs Tottenham Hotspur FC,Fulham FC,Tottenham Hotspur FC,2026-03-01 14:00:00+00:00,Home Win,0.6593955755233765,2.0,0.5,0.15939557552337646,0.31879115104675293,7.969778776168823,0.6593955755233765
Aston Villa FC vs Chelsea FC,Aston Villa FC,Chelsea FC,2026-03-04 19:30:00+00:00,Draw,0.3422539234161377,3.8,0.2631578947368421,0.0790960286792956,0.30056490898132315,2.683615258761814,0.42657923698425293
Arsenal FC vs Chelsea FC,Arsenal FC,Chelsea FC,2026-03-01 16:30:00+00:00,Draw,0.28117579221725464,4.5,0.2222222222222222,0.05895356999503243,0.2652910649776459,1.8949361784117564,0.581375241279602
Manchester City FC vs Nottingham Forest FC,Manchester City FC,Nottingham Forest FC,2026-03-04 19:30:00+00:00,Home Win,0.8539887070655823,1.4,0.7142857142857143,0.13970299277986797,0.19558418989181509,12.224011868238446,0.8539887070655823
