match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Sunderland AFC vs Liverpool FC,Sunderland AFC,Liverpool FC,2026-02-11 20:15:00+00:00,Home Win,0.9457205533981323,5.1,0.19607843137254904,0.7496421220255833,3.8231748223304747,23.312041599576066,0.9457205533981323
West Ham United FC vs Manchester United FC,West Ham United FC,Manchester United FC,2026-02-10 20:15:00+00:00,Home Win,0.8539887070655823,4.75,0.21052631578947367,0.6434623912761086,3.056446358561516,20.37630905707677,0.8539887070655823
Crystal Palace FC vs Burnley FC,Crystal Palace FC,Burnley FC,2026-02-11 19:30:00+00:00,Away Win,0.42657923698425293,7.2,0.1388888888888889,0.28769034809536403,2.071370506286621,8.352300428575084,0.42657923698425293
Brentford FC vs Arsenal FC,Brentford FC,Arsenal FC,2026-02-12 20:00:00+00:00,Home Win,0.5788708329200745,5.3,0.18867924528301888,0.3901915876370556,2.0680154144763945,12.023345433002294,0.5788708329200745
Aston Villa FC vs Brighton & Hove Albion FC,Aston Villa FC,Brighton & Hove Albion FC,2026-02-11 19:30:00+00:00,Away Win,0.42657923698425293,4.0,0.25,0.17657923698425293,0.7063169479370117,5.885974566141764,0.42657923698425293
Crystal Palace FC vs Burnley FC,Crystal Palace FC,Burnley FC,2026-02-11 19:30:00+00:00,Draw,0.3422539234161377,4.3,0.23255813953488372,0.10969578388125398,0.471691870689392,3.5734232627984244,0.42657923698425293
Tottenham Hotspur FC vs Newcastle United FC,Tottenham Hotspur FC,Newcastle United FC,2026-02-10 19:30:00+00:00,Away Win,0.5848814845085144,2.3,0.4347826086956522,0.1500988758128622,0.34522741436958304,6.6389887378765975,0.5848814845085144
Aston Villa FC vs Brighton & Hove Albion FC,Aston Villa FC,Brighton & Hove Albion FC,2026-02-11 19:30:00+00:00,Draw,0.3422539234161377,3.85,0.2597402597402597,0.08251366367587798,0.31767760515213017,2.786645659229212,0.42657923698425293
Nottingham Forest FC vs Wolverhampton Wanderers FC,Nottingham Forest FC,Wolverhampton Wanderers FC,2026-02-11 19:30:00+00:00,Draw,0.31109315156936646,3.85,0.2597402597402597,0.05135289182910674,0.19770863354206092,1.7342862591408852,0.509194016456604
Manchester City FC vs Fulham FC,Manchester City FC,Fulham FC,2026-02-11 19:30:00+00:00,Home Win,0.8539887070655823,1.38,0.7246376811594204,0.12935102590616188,0.17850441575050346,11.743711562533125,0.8539887070655823
Chelsea FC vs Leeds United FC,Chelsea FC,Leeds United FC,2026-02-10 19:30:00+00:00,Home Win,0.7259930968284607,1.59,0.6289308176100629,0.09706227921839783,0.15432902395725256,6.5393654219174815,0.7259930968284607
