match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Manchester United FC vs Crystal Palace FC,Manchester United FC,Crystal Palace FC,2026-03-01 14:00:00+00:00,Away Win,0.599145770072937,6.6,0.15151515151515152,0.4476306185577855,2.954362082481384,13.189116439649037,0.599145770072937
Wolverhampton Wanderers FC vs Aston Villa FC,Wolverhampton Wanderers FC,Aston Villa FC,2026-02-27 20:00:00+00:00,Home Win,0.7463911771774292,4.3,0.23255813953488372,0.5138330376425455,2.2094820618629454,16.73850046865868,0.7463911771774292
Sunderland AFC vs Fulham FC,Sunderland AFC,Fulham FC,2026-02-22 14:00:00+00:00,Home Win,0.9457205533981323,2.9,0.3448275862068966,0.6008929671912357,1.7425896048545837,22.92881059019189,0.9457205533981323
Everton FC vs Manchester United FC,Everton FC,Manchester United FC,2026-02-23 20:00:00+00:00,Home Win,0.581375241279602,3.95,0.2531645569620253,0.3282106843175768,1.2964322030544282,10.986713585207019,0.581375241279602
Burnley FC vs Brentford FC,Burnley FC,Brentford FC,2026-02-28 15:00:00+00:00,Home Win,0.509194016456604,4.4,0.22727272727272727,0.2819212891838767,1.2404536724090578,9.120982885360718,0.509194016456604
Crystal Palace FC vs Wolverhampton Wanderers FC,Crystal Palace FC,Wolverhampton Wanderers FC,2026-02-22 14:00:00+00:00,Away Win,0.42657923698425293,5.0,0.2,0.22657923698425292,1.1328961849212646,7.080601155757904,0.42657923698425293
Brighton & Hove Albion FC vs Nottingham Forest FC,Brighton & Hove Albion FC,Nottingham Forest FC,2026-03-01 14:00:00+00:00,Away Win,0.599145770072937,3.5,0.2857142857142857,0.3134314843586513,1.0970101952552795,10.970101952552795,0.599145770072937
Nottingham Forest FC vs Liverpool FC,Nottingham Forest FC,Liverpool FC,2026-02-22 14:00:00+00:00,Home Win,0.509194016456604,4.0,0.25,0.259194016456604,1.036776065826416,8.639800548553467,0.509194016456604
Tottenham Hotspur FC vs Arsenal FC,Tottenham Hotspur FC,Arsenal FC,2026-02-22 16:30:00+00:00,Home Win,0.23893703520298004,7.0,0.14285714285714285,0.09607989234583719,0.6725592464208603,2.802330193420251,0.5848814845085144
Fulham FC vs Tottenham Hotspur FC,Fulham FC,Tottenham Hotspur FC,2026-03-01 14:00:00+00:00,Home Win,0.6593955755233765,2.42,0.4132231404958678,0.24617243502750868,0.595737292766571,10.488332619129771,0.6593955755233765
Crystal Palace FC vs Wolverhampton Wanderers FC,Crystal Palace FC,Wolverhampton Wanderers FC,2026-02-22 14:00:00+00:00,Draw,0.3422539234161377,4.0,0.25,0.0922539234161377,0.3690156936645508,3.075130780537923,0.42657923698425293
Leeds United FC vs Manchester City FC,Leeds United FC,Manchester City FC,2026-02-28 17:30:00+00:00,Draw,0.2823346257209778,4.6,0.2173913043478261,0.06494332137315167,0.2987392783164977,2.0745783216423455,0.5675145983695984
Burnley FC vs Brentford FC,Burnley FC,Brentford FC,2026-02-28 15:00:00+00:00,Draw,0.31109315156936646,3.85,0.2597402597402597,0.05135289182910674,0.19770863354206092,1.7342862591408852,0.509194016456604
