match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
West Ham United FC vs Manchester City FC,West Ham United FC,Manchester City FC,2026-03-14 20:00:00+00:00,Home Win,0.8539887070655823,4.9,0.2040816326530612,0.649907074412521,3.1845446646213533,20.41374785013688,0.8539887070655823
Sunderland AFC vs Brighton & Hove Albion FC,Sunderland AFC,Brighton & Hove Albion FC,2026-03-14 15:00:00+00:00,Home Win,0.9457205533981323,3.5,0.2857142857142857,0.6600062676838466,2.310021936893463,23.10021936893463,0.9457205533981323
Manchester United FC vs Aston Villa FC,Manchester United FC,Aston Villa FC,2026-03-15 14:00:00+00:00,Away Win,0.599145770072937,4.7,0.2127659574468085,0.3863798126261285,1.815985119342804,12.270169725289216,0.599145770072937
Arsenal FC vs Everton FC,Arsenal FC,Everton FC,2026-03-14 17:30:00+00:00,Draw,0.28117579221725464,5.1,0.19607843137254904,0.0850973608447056,0.4339965403079986,2.646320367731699,0.581375241279602
Chelsea FC vs Newcastle United FC,Chelsea FC,Newcastle United FC,2026-03-14 17:30:00+00:00,Home Win,0.7259930968284607,1.86,0.5376344086021505,0.1883586882263102,0.3503471601009369,10.18451046805049,0.7259930968284607
Crystal Palace FC vs Leeds United FC,Crystal Palace FC,Leeds United FC,2026-03-15 14:00:00+00:00,Away Win,0.42657923698425293,3.15,0.31746031746031744,0.10911891952393549,0.34372459650039666,3.9967976337255426,0.42657923698425293
Nottingham Forest FC vs Fulham FC,Nottingham Forest FC,Fulham FC,2026-03-15 14:00:00+00:00,Home Win,0.509194016456604,2.26,0.4424778761061947,0.06671614035040929,0.15077847719192494,2.9916364522207335,0.509194016456604
