match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Sunderland AFC vs Fulham FC,Sunderland AFC,Fulham FC,2026-02-22 14:00:00+00:00,Home Win,0.9457205533981323,2.86,0.3496503496503497,0.5960702037477826,1.7047607827186584,22.91345138062713,0.9457205533981323
Crystal Palace FC vs Wolverhampton Wanderers FC,Crystal Palace FC,Wolverhampton Wanderers FC,2026-02-22 14:00:00+00:00,Away Win,0.42657923698425293,5.8,0.1724137931034483,0.25416544388080464,1.474159574508667,7.677914450565974,0.42657923698425293
Nottingham Forest FC vs Liverpool FC,Nottingham Forest FC,Liverpool FC,2026-02-22 14:00:00+00:00,Home Win,0.509194016456604,4.5,0.2222222222222222,0.2869717942343818,1.291373074054718,9.224093386105128,0.509194016456604
Everton FC vs Manchester United FC,Everton FC,Manchester United FC,2026-02-23 20:00:00+00:00,Home Win,0.581375241279602,3.8,0.2631578947368421,0.31821734654275996,1.2092259168624877,10.796659971986498,0.581375241279602
Aston Villa FC vs Leeds United FC,Aston Villa FC,Leeds United FC,2026-02-21 15:00:00+00:00,Away Win,0.42657923698425293,4.7,0.2127659574468085,0.21381327953744442,1.004922413825989,6.790016309635059,0.42657923698425293
Chelsea FC vs Burnley FC,Chelsea FC,Burnley FC,2026-02-21 15:00:00+00:00,Away Win,0.12627583742141724,13.5,0.07407407407407407,0.052201763347343166,0.7047238051891327,1.4094476103782654,0.7259930968284607
Tottenham Hotspur FC vs Arsenal FC,Tottenham Hotspur FC,Arsenal FC,2026-02-22 16:30:00+00:00,Home Win,0.23893703520298004,6.4,0.15625,0.08268703520298004,0.5291970252990723,2.4499862282364457,0.5848814845085144
Crystal Palace FC vs Wolverhampton Wanderers FC,Crystal Palace FC,Wolverhampton Wanderers FC,2026-02-22 14:00:00+00:00,Draw,0.3422539234161377,4.2,0.23809523809523808,0.10415868532089961,0.4374664783477784,3.417706862092019,0.42657923698425293
Aston Villa FC vs Leeds United FC,Aston Villa FC,Leeds United FC,2026-02-21 15:00:00+00:00,Draw,0.3422539234161377,3.75,0.26666666666666666,0.07558725674947103,0.28345221281051636,2.5768382982774214,0.42657923698425293
Nottingham Forest FC vs Liverpool FC,Nottingham Forest FC,Liverpool FC,2026-02-22 14:00:00+00:00,Draw,0.31109315156936646,4.1,0.24390243902439027,0.06719071254497619,0.2754819214344023,2.2216283986645347,0.509194016456604
Manchester City FC vs Newcastle United FC,Manchester City FC,Newcastle United FC,2026-02-21 20:00:00+00:00,Home Win,0.8539887070655823,1.48,0.6756756756756757,0.17831303138990662,0.26390328645706174,13.7449628363053,0.8539887070655823
Brentford FC vs Brighton & Hove Albion FC,Brentford FC,Brighton & Hove Albion FC,2026-02-21 15:00:00+00:00,Home Win,0.5788708329200745,2.06,0.4854368932038835,0.09343393971619096,0.19247391581535345,4.5394791465885245,0.5788708329200745
