match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Burnley FC vs Manchester City FC,Burnley FC,Manchester City FC,2026-04-22 19:00:00+00:00,Home Win,0.509194016456604,13.5,0.07407407407407407,0.43511994238252993,5.874119222164154,11.748238444328308,0.509194016456604
Wolverhampton Wanderers FC vs Tottenham Hotspur FC,Wolverhampton Wanderers FC,Tottenham Hotspur FC,2026-04-25 14:00:00+00:00,Home Win,0.7463911771774292,4.2,0.23809523809523808,0.5082959390821911,2.134842944145203,16.678460501134396,0.7463911771774292
Sunderland AFC vs Nottingham Forest FC,Sunderland AFC,Nottingham Forest FC,2026-04-24 19:00:00+00:00,Home Win,0.9457205533981323,2.9,0.3448275862068966,0.6008929671912357,1.7425896048545837,22.92881059019189,0.9457205533981323
Aston Villa FC vs Sunderland AFC,Aston Villa FC,Sunderland AFC,2026-04-19 13:00:00+00:00,Away Win,0.42657923698425293,5.4,0.18518518518518517,0.24139405179906775,1.3035278797149659,7.406408407471396,0.42657923698425293
West Ham United FC vs Everton FC,West Ham United FC,Everton FC,2026-04-25 14:00:00+00:00,Home Win,0.8539887070655823,2.64,0.3787878787878788,0.4752008282777035,1.2545301866531373,19.123935772151484,0.8539887070655823
Burnley FC vs Manchester City FC,Burnley FC,Manchester City FC,2026-04-22 19:00:00+00:00,Draw,0.31109315156936646,7.0,0.14285714285714285,0.1682360087122236,1.1776520609855652,4.9068835874398555,0.509194016456604
Everton FC vs Liverpool FC,Everton FC,Liverpool FC,2026-04-19 13:00:00+00:00,Home Win,0.581375241279602,3.35,0.29850746268656714,0.2828677785930349,0.9476070582866669,10.080926151985818,0.581375241279602
Fulham FC vs Aston Villa FC,Fulham FC,Aston Villa FC,2026-04-25 11:30:00+00:00,Home Win,0.6593955755233765,2.74,0.36496350364963503,0.29443207187374143,0.8067438769340516,11.59114765709844,0.6593955755233765
Brighton & Hove Albion FC vs Chelsea FC,Brighton & Hove Albion FC,Chelsea FC,2026-04-21 19:00:00+00:00,Away Win,0.599145770072937,2.84,0.35211267605633806,0.24703309401659895,0.7015739870071411,9.5322552582492,0.599145770072937
Manchester City FC vs Arsenal FC,Manchester City FC,Arsenal FC,2026-04-19 15:30:00+00:00,Home Win,0.8539887070655823,1.96,0.5102040816326531,0.3437846254329292,0.6738178658485412,17.547340256472427,0.8539887070655823
Nottingham Forest FC vs Burnley FC,Nottingham Forest FC,Burnley FC,2026-04-19 13:00:00+00:00,Draw,0.31109315156936646,4.7,0.2127659574468085,0.09832719412255794,0.46213781237602247,3.122552786324476,0.509194016456604
Nottingham Forest FC vs Burnley FC,Nottingham Forest FC,Burnley FC,2026-04-19 13:00:00+00:00,Away Win,0.1797129213809967,7.8,0.12820512820512822,0.05150779317586848,0.4017607867717743,1.4770617160726995,0.509194016456604
Crystal Palace FC vs West Ham United FC,Crystal Palace FC,West Ham United FC,2026-04-20 19:00:00+00:00,Away Win,0.42657923698425293,3.1,0.3225806451612903,0.10399859182296262,0.32239563465118415,3.8380432696569535,0.42657923698425293
Aston Villa FC vs Sunderland AFC,Aston Villa FC,Sunderland AFC,2026-04-19 13:00:00+00:00,Draw,0.3422539234161377,3.85,0.2597402597402597,0.08251366367587798,0.31767760515213017,2.786645659229212,0.42657923698425293
Arsenal FC vs Newcastle United FC,Arsenal FC,Newcastle United FC,2026-04-25 16:30:00+00:00,Draw,0.28117579221725464,4.6,0.2173913043478261,0.06378448786942853,0.2934086441993713,2.0375600291623006,0.581375241279602
Crystal Palace FC vs West Ham United FC,Crystal Palace FC,West Ham United FC,2026-04-20 19:00:00+00:00,Draw,0.3422539234161377,3.5,0.2857142857142857,0.056539637701852,0.19788873195648193,1.9788873195648193,0.42657923698425293
Liverpool FC vs Crystal Palace FC,Liverpool FC,Crystal Palace FC,2026-04-25 14:00:00+00:00,Home Win,0.7463911771774292,1.55,0.6451612903225806,0.10122988685484857,0.1569063246250153,7.132105664773422,0.7463911771774292
