match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
West Ham United FC vs Manchester City FC,West Ham United FC,Manchester City FC,2026-03-14 20:00:00+00:00,Home Win,0.8539887070655823,4.9,0.2040816326530612,0.649907074412521,3.1845446646213533,20.41374785013688,0.8539887070655823
Sunderland AFC vs Brighton & Hove Albion FC,Sunderland AFC,Brighton & Hove Albion FC,2026-03-14 15:00:00+00:00,Home Win,0.9457205533981323,3.45,0.2898550724637681,0.6558654809343643,2.2627359092235566,23.089141930852616,0.9457205533981323
Manchester United FC vs Aston Villa FC,Manchester United FC,Aston Villa FC,2026-03-15 14:00:00+00:00,Away Win,0.599145770072937,4.7,0.2127659574468085,0.3863798126261285,1.815985119342804,12.270169725289216,0.599145770072937
Arsenal FC vs Everton FC,Arsenal FC,Everton FC,2026-03-14 17:30:00+00:00,Draw,0.28117579221725464,5.0,0.2,0.08117579221725463,0.4058789610862732,2.5367435067892075,0.581375241279602
Chelsea FC vs Newcastle United FC,Chelsea FC,Newcastle United FC,2026-03-14 17:30:00+00:00,Home Win,0.7259930968284607,1.87,0.53475935828877,0.19123373853969072,0.3576070910692216,10.27606583532246,0.7259930968284607
Crystal Palace FC vs Leeds United FC,Crystal Palace FC,Leeds United FC,2026-03-15 14:00:00+00:00,Away Win,0.42657923698425293,3.05,0.3278688524590164,0.0987103845252365,0.3010666728019714,3.6715447902679443,0.42657923698425293
Nottingham Forest FC vs Fulham FC,Nottingham Forest FC,Fulham FC,2026-03-15 14:00:00+00:00,Home Win,0.509194016456604,2.3,0.4347826086956522,0.07441140776095179,0.17114623785018912,3.2912738048113295,0.509194016456604
