match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Sunderland AFC vs Liverpool FC,Sunderland AFC,Liverpool FC,2026-02-11 20:15:00+00:00,Home Win,0.9457205533981323,5.6,0.17857142857142858,0.7671491248267037,4.296035099029541,23.348016842551857,0.9457205533981323
Wolverhampton Wanderers FC vs Chelsea FC,Wolverhampton Wanderers FC,Chelsea FC,2026-02-07 15:00:00+00:00,Home Win,0.7463911771774292,5.4,0.18518518518518517,0.5612059919922441,3.030512356758118,17.218820208852943,0.7463911771774292
West Ham United FC vs Manchester United FC,West Ham United FC,Manchester United FC,2026-02-10 20:15:00+00:00,Home Win,0.8539887070655823,4.0,0.25,0.6039887070655823,2.415954828262329,20.132956902186073,0.8539887070655823
Manchester United FC vs Tottenham Hotspur FC,Manchester United FC,Tottenham Hotspur FC,2026-02-07 12:30:00+00:00,Away Win,0.599145770072937,5.6,0.17857142857142858,0.4205743415015084,2.355216312408447,12.800088654393734,0.599145770072937
Brentford FC vs Arsenal FC,Brentford FC,Arsenal FC,2026-02-12 20:00:00+00:00,Home Win,0.5788708329200745,5.3,0.18867924528301888,0.3901915876370556,2.0680154144763945,12.023345433002294,0.5788708329200745
Crystal Palace FC vs Burnley FC,Crystal Palace FC,Burnley FC,2026-02-11 19:30:00+00:00,Away Win,0.42657923698425293,6.2,0.16129032258064516,0.2652889144036078,1.644791269302368,7.907650333184462,0.42657923698425293
Brighton & Hove Albion FC vs Crystal Palace FC,Brighton & Hove Albion FC,Crystal Palace FC,2026-02-08 14:00:00+00:00,Away Win,0.599145770072937,4.0,0.25,0.349145770072937,1.396583080291748,11.638192335764568,0.599145770072937
Arsenal FC vs Sunderland AFC,Arsenal FC,Sunderland AFC,2026-02-07 15:00:00+00:00,Away Win,0.1374489814043045,16.0,0.0625,0.0749489814043045,1.199183702468872,1.9986395041147866,0.581375241279602
Leeds United FC vs Nottingham Forest FC,Leeds United FC,Nottingham Forest FC,2026-02-06 20:00:00+00:00,Away Win,0.5675145983695984,3.65,0.273972602739726,0.2935419956298724,1.0714282840490341,10.107814000462586,0.5675145983695984
Arsenal FC vs Sunderland AFC,Arsenal FC,Sunderland AFC,2026-02-07 15:00:00+00:00,Draw,0.28117579221725464,7.2,0.1388888888888889,0.14228690332836574,1.0244657039642335,4.130910096629973,0.581375241279602
Liverpool FC vs Manchester City FC,Liverpool FC,Manchester City FC,2026-02-08 16:30:00+00:00,Home Win,0.7463911771774292,2.48,0.40322580645161293,0.34316537072581627,0.8510501194000244,14.375846611486898,0.7463911771774292
Burnley FC vs West Ham United FC,Burnley FC,West Ham United FC,2026-02-07 15:00:00+00:00,Home Win,0.509194016456604,3.5,0.2857142857142857,0.2234797307423183,0.782179057598114,7.82179057598114,0.509194016456604
Aston Villa FC vs Brighton & Hove Albion FC,Aston Villa FC,Brighton & Hove Albion FC,2026-02-11 19:30:00+00:00,Away Win,0.42657923698425293,3.95,0.2531645569620253,0.17341468002222765,0.6849879860877992,5.804982932947451,0.42657923698425293
Tottenham Hotspur FC vs Newcastle United FC,Tottenham Hotspur FC,Newcastle United FC,2026-02-10 19:30:00+00:00,Away Win,0.5848814845085144,2.65,0.37735849056603776,0.20752299394247664,0.5499359339475631,8.332362635569138,0.5848814845085144
Fulham FC vs Everton FC,Fulham FC,Everton FC,2026-02-07 15:00:00+00:00,Home Win,0.6593955755233765,2.2,0.45454545454545453,0.20485012097792193,0.45067026615142836,9.388963878154756,0.6593955755233765
Crystal Palace FC vs Burnley FC,Crystal Palace FC,Burnley FC,2026-02-11 19:30:00+00:00,Draw,0.3422539234161377,4.0,0.25,0.0922539234161377,0.3690156936645508,3.075130780537923,0.42657923698425293
Aston Villa FC vs Brighton & Hove Albion FC,Aston Villa FC,Brighton & Hove Albion FC,2026-02-11 19:30:00+00:00,Draw,0.3422539234161377,3.65,0.273972602739726,0.06828132067641168,0.24922682046890254,2.3511964195179487,0.42657923698425293
Nottingham Forest FC vs Wolverhampton Wanderers FC,Nottingham Forest FC,Wolverhampton Wanderers FC,2026-02-11 19:30:00+00:00,Draw,0.31109315156936646,4.0,0.25,0.061093151569366455,0.24437260627746582,2.036438385645549,0.509194016456604
Newcastle United FC vs Brentford FC,Newcastle United FC,Brentford FC,2026-02-07 17:30:00+00:00,Home Win,0.5788708329200745,2.14,0.4672897196261682,0.11158111329390624,0.23878358244895947,5.236482071249111,0.5788708329200745
Manchester City FC vs Fulham FC,Manchester City FC,Fulham FC,2026-02-11 19:30:00+00:00,Home Win,0.8539887070655823,1.38,0.7246376811594204,0.12935102590616188,0.17850441575050346,11.743711562533125,0.8539887070655823
Chelsea FC vs Leeds United FC,Chelsea FC,Leeds United FC,2026-02-10 19:30:00+00:00,Home Win,0.7259930968284607,1.62,0.6172839506172839,0.10870914621117678,0.1761088168621064,7.101161970246224,0.7259930968284607
