match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Wolverhampton Wanderers FC vs Liverpool FC,Wolverhampton Wanderers FC,Liverpool FC,2026-03-03 20:15:00+00:00,Home Win,0.7463911771774292,7.2,0.1388888888888889,0.6075022882885404,4.37401647567749,17.637163208376975,0.7463911771774292
Manchester United FC vs Crystal Palace FC,Manchester United FC,Crystal Palace FC,2026-03-01 14:00:00+00:00,Away Win,0.599145770072937,6.4,0.15625,0.442895770072937,2.834532928466797,13.122837631790727,0.599145770072937
Wolverhampton Wanderers FC vs Aston Villa FC,Wolverhampton Wanderers FC,Aston Villa FC,2026-02-27 20:00:00+00:00,Home Win,0.7463911771774292,4.6,0.2173913043478261,0.528999872829603,2.433399415016174,16.89860704872343,0.7463911771774292
Burnley FC vs Brentford FC,Burnley FC,Brentford FC,2026-02-28 15:00:00+00:00,Home Win,0.509194016456604,5.1,0.19607843137254904,0.31311558508405496,1.5968894839286802,9.737130999565125,0.509194016456604
Leeds United FC vs Sunderland AFC,Leeds United FC,Sunderland AFC,2026-03-03 19:30:00+00:00,Away Win,0.5675145983695984,4.25,0.23529411764705882,0.33222048072253957,1.4119370430707932,10.86105417746764,0.5675145983695984
Brighton & Hove Albion FC vs Nottingham Forest FC,Brighton & Hove Albion FC,Nottingham Forest FC,2026-03-01 14:00:00+00:00,Away Win,0.599145770072937,3.6,0.2777777777777778,0.3213679922951592,1.1569247722625733,11.124276656370895,0.599145770072937
Tottenham Hotspur FC vs Crystal Palace FC,Tottenham Hotspur FC,Crystal Palace FC,2026-03-05 20:00:00+00:00,Away Win,0.5848814845085144,3.2,0.3125,0.2723814845085144,0.8716207504272462,9.904781254855068,0.5848814845085144
Newcastle United FC vs Manchester United FC,Newcastle United FC,Manchester United FC,2026-03-04 20:15:00+00:00,Home Win,0.5788708329200745,2.54,0.39370078740157477,0.1851700455184997,0.47033191561698917,7.635258370405667,0.5788708329200745
Fulham FC vs Tottenham Hotspur FC,Fulham FC,Tottenham Hotspur FC,2026-03-01 14:00:00+00:00,Home Win,0.6593955755233765,2.18,0.4587155963302752,0.20067997919310127,0.43748235464096075,9.26869395425764,0.6593955755233765
Fulham FC vs West Ham United FC,Fulham FC,West Ham United FC,2026-03-04 19:30:00+00:00,Home Win,0.6593955755233765,2.06,0.4854368932038835,0.17395868231949296,0.35835488557815554,8.451766169296121,0.6593955755233765
Leeds United FC vs Manchester City FC,Leeds United FC,Manchester City FC,2026-02-28 17:30:00+00:00,Draw,0.2823346257209778,4.6,0.2173913043478261,0.06494332137315167,0.2987392783164977,2.0745783216423455,0.5675145983695984
Aston Villa FC vs Chelsea FC,Aston Villa FC,Chelsea FC,2026-03-04 19:30:00+00:00,Draw,0.3422539234161377,3.65,0.273972602739726,0.06828132067641168,0.24922682046890254,2.3511964195179487,0.42657923698425293
Burnley FC vs Brentford FC,Burnley FC,Brentford FC,2026-02-28 15:00:00+00:00,Draw,0.31109315156936646,4.0,0.25,0.061093151569366455,0.24437260627746582,2.036438385645549,0.509194016456604
Manchester City FC vs Nottingham Forest FC,Manchester City FC,Nottingham Forest FC,2026-03-04 19:30:00+00:00,Home Win,0.8539887070655823,1.4,0.7142857142857143,0.13970299277986797,0.19558418989181509,12.224011868238446,0.8539887070655823
Liverpool FC vs West Ham United FC,Liverpool FC,West Ham United FC,2026-02-28 15:00:00+00:00,Home Win,0.7463911771774292,1.44,0.6944444444444444,0.05194673273298478,0.074803295135498,4.250187223607841,0.7463911771774292
