match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Manchester United FC vs Aston Villa FC,Manchester United FC,Aston Villa FC,2026-03-15 14:00:00+00:00,Away Win,0.599145770072937,5.1,0.19607843137254904,0.40306733870038797,2.0556434273719786,12.534411142512067,0.599145770072937
Everton FC vs Chelsea FC,Everton FC,Chelsea FC,2026-03-21 17:30:00+00:00,Home Win,0.581375241279602,3.7,0.27027027027027023,0.3111049710093318,1.1510883927345277,10.658225858653033,0.581375241279602
Aston Villa FC vs West Ham United FC,Aston Villa FC,West Ham United FC,2026-03-22 14:15:00+00:00,Away Win,0.42657923698425293,4.3,0.23255813953488372,0.1940210974493692,0.8342907190322875,6.320384235093088,0.42657923698425293
Tottenham Hotspur FC vs Nottingham Forest FC,Tottenham Hotspur FC,Nottingham Forest FC,2026-03-22 14:15:00+00:00,Away Win,0.5848814845085144,2.88,0.3472222222222222,0.2376592622862922,0.6844586753845214,9.101844087560126,0.5848814845085144
Leeds United FC vs Brentford FC,Leeds United FC,Brentford FC,2026-03-21 20:00:00+00:00,Away Win,0.5675145983695984,2.75,0.36363636363636365,0.20387823473323474,0.5606651455163956,8.009502078805651,0.5675145983695984
Aston Villa FC vs West Ham United FC,Aston Villa FC,West Ham United FC,2026-03-22 14:15:00+00:00,Draw,0.3422539234161377,3.95,0.2531645569620253,0.08908936645411242,0.351902997493744,2.982228792319864,0.42657923698425293
Brighton & Hove Albion FC vs Liverpool FC,Brighton & Hove Albion FC,Liverpool FC,2026-03-21 12:30:00+00:00,Away Win,0.599145770072937,2.22,0.4504504504504504,0.1486953196224866,0.3301036095619203,6.764418228727874,0.599145770072937
Crystal Palace FC vs Leeds United FC,Crystal Palace FC,Leeds United FC,2026-03-15 14:00:00+00:00,Away Win,0.42657923698425293,3.1,0.3225806451612903,0.10399859182296262,0.32239563465118415,3.8380432696569535,0.42657923698425293
Nottingham Forest FC vs Fulham FC,Nottingham Forest FC,Fulham FC,2026-03-15 14:00:00+00:00,Home Win,0.509194016456604,2.4,0.4166666666666667,0.09252734978993732,0.22206563949584956,3.965457848140171,0.509194016456604
