match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
West Ham United FC vs Manchester City FC,West Ham United FC,Manchester City FC,2026-03-14 20:00:00+00:00,Home Win,0.8539887070655823,4.8,0.20833333333333334,0.6456553737322489,3.099145793914795,20.389117065228916,0.8539887070655823
Sunderland AFC vs Brighton & Hove Albion FC,Sunderland AFC,Brighton & Hove Albion FC,2026-03-14 15:00:00+00:00,Home Win,0.9457205533981323,3.5,0.2857142857142857,0.6600062676838466,2.310021936893463,23.10021936893463,0.9457205533981323
Manchester United FC vs Aston Villa FC,Manchester United FC,Aston Villa FC,2026-03-15 14:00:00+00:00,Away Win,0.599145770072937,4.6,0.2173913043478261,0.3817544657251109,1.75607054233551,12.194934321774378,0.599145770072937
Arsenal FC vs Everton FC,Arsenal FC,Everton FC,2026-03-14 17:30:00+00:00,Draw,0.28117579221725464,5.3,0.18867924528301888,0.09249654693423576,0.49023169875144945,2.850184295066567,0.581375241279602
Crystal Palace FC vs Leeds United FC,Crystal Palace FC,Leeds United FC,2026-03-15 14:00:00+00:00,Away Win,0.42657923698425293,3.25,0.3076923076923077,0.11888692929194522,0.386382520198822,4.293139113320245,0.42657923698425293
Chelsea FC vs Newcastle United FC,Chelsea FC,Newcastle United FC,2026-03-14 17:30:00+00:00,Home Win,0.7259930968284607,1.85,0.5405405405405405,0.18545255628792023,0.3430872291326523,10.090800856842714,0.7259930968284607
Nottingham Forest FC vs Fulham FC,Nottingham Forest FC,Fulham FC,2026-03-15 14:00:00+00:00,Home Win,0.509194016456604,2.3,0.4347826086956522,0.07441140776095179,0.17114623785018912,3.2912738048113295,0.509194016456604
