match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Wolverhampton Wanderers FC vs Chelsea FC,Wolverhampton Wanderers FC,Chelsea FC,2026-02-07 15:00:00+00:00,Home Win,0.7463911771774292,5.2,0.1923076923076923,0.5540834848697369,2.881234121322632,17.150203103110904,0.7463911771774292
West Ham United FC vs Manchester United FC,West Ham United FC,Manchester United FC,2026-02-10 20:15:00+00:00,Home Win,0.8539887070655823,4.0,0.25,0.6039887070655823,2.415954828262329,20.132956902186073,0.8539887070655823
Manchester United FC vs Tottenham Hotspur FC,Manchester United FC,Tottenham Hotspur FC,2026-02-07 12:30:00+00:00,Away Win,0.599145770072937,5.0,0.2,0.399145770072937,1.995728850364685,12.473305314779282,0.599145770072937
Arsenal FC vs Sunderland AFC,Arsenal FC,Sunderland AFC,2026-02-07 15:00:00+00:00,Away Win,0.1374489814043045,18.0,0.05555555555555555,0.08189342584874895,1.474081665277481,2.167767154819825,0.581375241279602
Brighton & Hove Albion FC vs Crystal Palace FC,Brighton & Hove Albion FC,Crystal Palace FC,2026-02-08 14:00:00+00:00,Away Win,0.599145770072937,4.0,0.25,0.349145770072937,1.396583080291748,11.638192335764568,0.599145770072937
Leeds United FC vs Nottingham Forest FC,Leeds United FC,Nottingham Forest FC,2026-02-06 20:00:00+00:00,Away Win,0.5675145983695984,3.55,0.28169014084507044,0.28582445752452795,1.0146768242120743,9.94781200207916,0.5675145983695984
Arsenal FC vs Sunderland AFC,Arsenal FC,Sunderland AFC,2026-02-07 15:00:00+00:00,Draw,0.28117579221725464,7.0,0.14285714285714285,0.1383186493601118,0.9682305455207825,4.0342939396699276,0.581375241279602
Liverpool FC vs Manchester City FC,Liverpool FC,Manchester City FC,2026-02-08 16:30:00+00:00,Home Win,0.7463911771774292,2.48,0.40322580645161293,0.34316537072581627,0.8510501194000244,14.375846611486898,0.7463911771774292
Burnley FC vs West Ham United FC,Burnley FC,West Ham United FC,2026-02-07 15:00:00+00:00,Home Win,0.509194016456604,3.5,0.2857142857142857,0.2234797307423183,0.782179057598114,7.82179057598114,0.509194016456604
Tottenham Hotspur FC vs Newcastle United FC,Tottenham Hotspur FC,Newcastle United FC,2026-02-10 19:30:00+00:00,Away Win,0.5848814845085144,2.66,0.37593984962406013,0.20894163488445427,0.5557847487926484,8.370252240853137,0.5848814845085144
Fulham FC vs Everton FC,Fulham FC,Everton FC,2026-02-07 15:00:00+00:00,Home Win,0.6593955755233765,2.22,0.4504504504504504,0.20894512507292606,0.46385817766189585,9.50529052585852,0.6593955755233765
Chelsea FC vs Leeds United FC,Chelsea FC,Leeds United FC,2026-02-10 19:30:00+00:00,Home Win,0.7259930968284607,1.62,0.6172839506172839,0.10870914621117678,0.1761088168621064,7.101161970246224,0.7259930968284607
Newcastle United FC vs Brentford FC,Newcastle United FC,Brentford FC,2026-02-07 17:30:00+00:00,Home Win,0.5788708329200745,2.0,0.5,0.07887083292007446,0.15774166584014893,3.943541646003723,0.5788708329200745
