match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Wolverhampton Wanderers FC vs Arsenal FC,Wolverhampton Wanderers FC,Arsenal FC,2026-02-18 20:00:00+00:00,Home Win,0.7463911771774292,14.0,0.07142857142857142,0.6749626057488578,9.449476480484009,18.17207015477694,0.7463911771774292
Sunderland AFC vs Fulham FC,Sunderland AFC,Fulham FC,2026-02-22 14:00:00+00:00,Home Win,0.9457205533981323,2.84,0.35211267605633806,0.5936078773417943,1.6858463716506957,22.905521353949673,0.9457205533981323
Crystal Palace FC vs Wolverhampton Wanderers FC,Crystal Palace FC,Wolverhampton Wanderers FC,2026-02-22 14:00:00+00:00,Away Win,0.42657923698425293,6.0,0.16666666666666666,0.2599125703175863,1.5594754219055176,7.797377109527588,0.42657923698425293
Nottingham Forest FC vs Liverpool FC,Nottingham Forest FC,Liverpool FC,2026-02-22 14:00:00+00:00,Home Win,0.509194016456604,4.5,0.2222222222222222,0.2869717942343818,1.291373074054718,9.224093386105128,0.509194016456604
Everton FC vs Manchester United FC,Everton FC,Manchester United FC,2026-02-23 20:00:00+00:00,Home Win,0.581375241279602,3.8,0.2631578947368421,0.31821734654275996,1.2092259168624877,10.796659971986498,0.581375241279602
Aston Villa FC vs Leeds United FC,Aston Villa FC,Leeds United FC,2026-02-21 15:00:00+00:00,Away Win,0.42657923698425293,4.8,0.20833333333333334,0.2182459036509196,1.047580337524414,6.891975904765882,0.42657923698425293
Chelsea FC vs Burnley FC,Chelsea FC,Burnley FC,2026-02-21 15:00:00+00:00,Away Win,0.12627583742141724,14.99,0.066711140760507,0.05956469666091023,0.8928748029470444,1.5955589759596933,0.7259930968284607
Tottenham Hotspur FC vs Arsenal FC,Tottenham Hotspur FC,Arsenal FC,2026-02-22 16:30:00+00:00,Home Win,0.23893703520298004,6.6,0.15151515151515152,0.08742188368782852,0.5769844323396682,2.575823358659233,0.5848814845085144
Crystal Palace FC vs Wolverhampton Wanderers FC,Crystal Palace FC,Wolverhampton Wanderers FC,2026-02-22 14:00:00+00:00,Draw,0.3422539234161377,4.3,0.23255813953488372,0.10969578388125398,0.471691870689392,3.5734232627984244,0.42657923698425293
Aston Villa FC vs Leeds United FC,Aston Villa FC,Leeds United FC,2026-02-21 15:00:00+00:00,Draw,0.3422539234161377,3.75,0.26666666666666666,0.07558725674947103,0.28345221281051636,2.5768382982774214,0.42657923698425293
Nottingham Forest FC vs Liverpool FC,Nottingham Forest FC,Liverpool FC,2026-02-22 14:00:00+00:00,Draw,0.31109315156936646,4.1,0.24390243902439027,0.06719071254497619,0.2754819214344023,2.2216283986645347,0.509194016456604
Manchester City FC vs Newcastle United FC,Manchester City FC,Newcastle United FC,2026-02-21 20:00:00+00:00,Home Win,0.8539887070655823,1.44,0.6944444444444444,0.15954426262113786,0.22974373817443844,13.053621487184003,0.8539887070655823
Brentford FC vs Brighton & Hove Albion FC,Brentford FC,Brighton & Hove Albion FC,2026-02-21 15:00:00+00:00,Home Win,0.5788708329200745,2.04,0.49019607843137253,0.08867475448870193,0.18089649915695194,4.348473537426729,0.5788708329200745
