match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
West Ham United FC vs Manchester City FC,West Ham United FC,Manchester City FC,2026-03-14 20:00:00+00:00,Home Win,0.8539887070655823,5.1,0.19607843137254904,0.6579102756930333,3.3553424060344694,20.459404914844328,0.8539887070655823
Sunderland AFC vs Brighton & Hove Albion FC,Sunderland AFC,Brighton & Hove Albion FC,2026-03-14 15:00:00+00:00,Home Win,0.9457205533981323,3.8,0.2631578947368421,0.6825626586612903,2.5937381029129027,23.158375918865204,0.9457205533981323
Manchester United FC vs Aston Villa FC,Manchester United FC,Aston Villa FC,2026-03-15 14:00:00+00:00,Away Win,0.599145770072937,4.9,0.2040816326530612,0.3950641374198758,1.9358142733573915,12.409065854855072,0.599145770072937
Everton FC vs Chelsea FC,Everton FC,Chelsea FC,2026-03-21 17:30:00+00:00,Home Win,0.581375241279602,3.75,0.26666666666666666,0.3147085746129354,1.1801571547985077,10.72870140725916,0.581375241279602
Leeds United FC vs Brentford FC,Leeds United FC,Brentford FC,2026-03-21 20:00:00+00:00,Away Win,0.5675145983695984,2.75,0.36363636363636365,0.20387823473323474,0.5606651455163956,8.009502078805651,0.5675145983695984
Chelsea FC vs Newcastle United FC,Chelsea FC,Newcastle United FC,2026-03-14 17:30:00+00:00,Home Win,0.7259930968284607,1.88,0.5319148936170213,0.19407820321143943,0.364867022037506,10.365540398792785,0.7259930968284607
Arsenal FC vs Everton FC,Arsenal FC,Everton FC,2026-03-14 17:30:00+00:00,Draw,0.28117579221725464,4.8,0.20833333333333334,0.0728424588839213,0.34964380264282213,2.3002881752817244,0.581375241279602
Crystal Palace FC vs Leeds United FC,Crystal Palace FC,Leeds United FC,2026-03-15 14:00:00+00:00,Away Win,0.42657923698425293,3.15,0.31746031746031744,0.10911891952393549,0.34372459650039666,3.9967976337255426,0.42657923698425293
Brighton & Hove Albion FC vs Liverpool FC,Brighton & Hove Albion FC,Liverpool FC,2026-03-21 12:30:00+00:00,Away Win,0.599145770072937,2.16,0.4629629629629629,0.1361828071099741,0.29415486335754404,6.339544468912586,0.599145770072937
Nottingham Forest FC vs Fulham FC,Nottingham Forest FC,Fulham FC,2026-03-15 14:00:00+00:00,Home Win,0.509194016456604,2.38,0.42016806722689076,0.08902594922971324,0.21188175916671748,3.838437666063723,0.509194016456604
