match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Burnley FC vs Manchester City FC,Burnley FC,Manchester City FC,2026-04-22 19:00:00+00:00,Home Win,0.509194016456604,13.0,0.07692307692307693,0.4322709395335271,5.619522213935852,11.707337945699692,0.509194016456604
Leeds United FC vs Wolverhampton Wanderers FC,Leeds United FC,Wolverhampton Wanderers FC,2026-04-18 14:00:00+00:00,Away Win,0.5675145983695984,6.6,0.15151515151515152,0.4159994468544469,2.7455963492393494,12.25712655910424,0.5675145983695984
Wolverhampton Wanderers FC vs Tottenham Hotspur FC,Wolverhampton Wanderers FC,Tottenham Hotspur FC,2026-04-25 14:00:00+00:00,Home Win,0.7463911771774292,3.7,0.27027027027027023,0.47612090690715897,1.7616473555564882,16.311549588486002,0.7463911771774292
Sunderland AFC vs Nottingham Forest FC,Sunderland AFC,Nottingham Forest FC,2026-04-24 19:00:00+00:00,Home Win,0.9457205533981323,2.92,0.3424657534246575,0.6032547999734748,1.7615040159225464,22.936250207324825,0.9457205533981323
Aston Villa FC vs Sunderland AFC,Aston Villa FC,Sunderland AFC,2026-04-19 13:00:00+00:00,Away Win,0.42657923698425293,5.5,0.18181818181818182,0.2447610551660711,1.3461858034133911,7.478810018963284,0.42657923698425293
West Ham United FC vs Everton FC,West Ham United FC,Everton FC,2026-04-25 14:00:00+00:00,Home Win,0.8539887070655823,2.6,0.3846153846153846,0.4693733224501977,1.220370638370514,19.06829122453928,0.8539887070655823
Burnley FC vs Manchester City FC,Burnley FC,Manchester City FC,2026-04-22 19:00:00+00:00,Draw,0.31109315156936646,6.8,0.14705882352941177,0.16403432803995469,1.1154334306716918,4.807902718412465,0.509194016456604
Everton FC vs Liverpool FC,Everton FC,Liverpool FC,2026-04-19 13:00:00+00:00,Home Win,0.581375241279602,3.3,0.30303030303030304,0.278344938249299,0.9185382962226867,9.984111915463986,0.581375241279602
Fulham FC vs Aston Villa FC,Fulham FC,Aston Villa FC,2026-04-25 11:30:00+00:00,Home Win,0.6593955755233765,2.65,0.37735849056603776,0.2820370849573387,0.7473982751369477,11.324216289953753,0.6593955755233765
Manchester City FC vs Arsenal FC,Manchester City FC,Arsenal FC,2026-04-19 15:30:00+00:00,Home Win,0.8539887070655823,1.92,0.5208333333333334,0.3331553737322489,0.639658317565918,17.38201949907386,0.8539887070655823
Brighton & Hove Albion FC vs Chelsea FC,Brighton & Hove Albion FC,Chelsea FC,2026-04-21 19:00:00+00:00,Away Win,0.599145770072937,2.7,0.37037037037037035,0.22877539970256666,0.61769357919693,9.083729105837206,0.599145770072937
Chelsea FC vs Manchester United FC,Chelsea FC,Manchester United FC,2026-04-18 19:00:00+00:00,Home Win,0.7259930968284607,2.18,0.4587155963302752,0.2672775004981855,0.5826649510860444,12.344596421314499,0.7259930968284607
Nottingham Forest FC vs Burnley FC,Nottingham Forest FC,Burnley FC,2026-04-19 13:00:00+00:00,Draw,0.31109315156936646,4.6,0.2173913043478261,0.09370184722154035,0.43102849721908565,2.9932534529103174,0.509194016456604
Nottingham Forest FC vs Burnley FC,Nottingham Forest FC,Burnley FC,2026-04-19 13:00:00+00:00,Away Win,0.1797129213809967,7.8,0.12820512820512822,0.05150779317586848,0.4017607867717743,1.4770617160726995,0.509194016456604
Tottenham Hotspur FC vs Brighton & Hove Albion FC,Tottenham Hotspur FC,Brighton & Hove Albion FC,2026-04-18 16:30:00+00:00,Away Win,0.5848814845085144,2.37,0.42194092827004215,0.16294055623847226,0.3861691182851792,7.0468817205324665,0.5848814845085144
Crystal Palace FC vs West Ham United FC,Crystal Palace FC,West Ham United FC,2026-04-20 19:00:00+00:00,Away Win,0.42657923698425293,3.2,0.3125,0.11407923698425293,0.3650535583496094,4.14833589033647,0.42657923698425293
Aston Villa FC vs Sunderland AFC,Aston Villa FC,Sunderland AFC,2026-04-19 13:00:00+00:00,Draw,0.3422539234161377,3.85,0.2597402597402597,0.08251366367587798,0.31767760515213017,2.786645659229212,0.42657923698425293
Arsenal FC vs Newcastle United FC,Arsenal FC,Newcastle United FC,2026-04-25 16:30:00+00:00,Draw,0.28117579221725464,4.6,0.2173913043478261,0.06378448786942853,0.2934086441993713,2.0375600291623006,0.581375241279602
Brentford FC vs Fulham FC,Brentford FC,Fulham FC,2026-04-18 11:30:00+00:00,Home Win,0.5788708329200745,2.16,0.4629629629629629,0.11590786995711155,0.25036099910736087,5.395711187658639,0.5788708329200745
Crystal Palace FC vs West Ham United FC,Crystal Palace FC,West Ham United FC,2026-04-20 19:00:00+00:00,Draw,0.3422539234161377,3.45,0.2898550724637681,0.05239885095236957,0.18077603578567514,1.84465342638444,0.42657923698425293
Liverpool FC vs Crystal Palace FC,Liverpool FC,Crystal Palace FC,2026-04-25 14:00:00+00:00,Home Win,0.7463911771774292,1.55,0.6451612903225806,0.10122988685484857,0.1569063246250153,7.132105664773422,0.7463911771774292
